MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,diesel,7,1,Silver,3.8,9.9,"75,000",870791,342958,60.6
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,1,Black,6.8,8.8,"54,392",837628,242550,71
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,9,1,Blue,6.8,5.6,"40,078",741508,265200,64.2
FordPintoG5,Ford,Pinto,G5,MUV,Manual,Diesel,5,1,Grey,9.5,8.2,"67,600",1313855,1036424,21.1
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,4,1,Silver,3.8,4.2,"42,298",533447,333750,37.4
FordEdge LivaGD,Ford,Edge Liva,GD,Hatchback,Manual,diesel,4,5,White,5.5,8,"18,000",691356,431232,37.6
MitsubishiPajero FocusLXi 1.2 BS-IV,Mitsubishi,Pajero Focus,LXi 1.2 BS-IV,Sedan,Manual,Petrol,7,1,Red,5,7.7,"45,000",564214,254769,54.8
NissanMaximaSI-vtec,Nissan,Maxima,SI-vtec,Hatchback,Manual,Petrol,6,1,Grey,4.5,8.4,"40,000",1004692,393888,60.8
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,7,1,Red,6.8,5.4,"34,000",536698,333750,37.8
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,5,1,Beige,4.8,4.2,"46,000",514112,287950,44
MazdaTitanXXi,Mazda,Titan,XXi,Sedan,Manual,Petrol,10,1,Black,6.8,9.9,"55,000",817621,194480,76.2
MitsubishiChallengerLXi CNG,Mitsubishi,Challenger,LXi CNG,Hatchback,Manual,Petrol + CNG,10,2,Silver,5,9.4,"22,000",383922,88000,77.1
MitsubishiChallengerLXi CNG,Mitsubishi,Challenger,LXi CNG,Hatchback,Manual,Petrol + CNG,10,1,Blue,4.5,8.4,"45,000",383922,132000,65.6
MazdaAccioBase 1.1 CRDi,Mazda,Accio,Base 1.1 CRDi,Sedan,Manual,Diesel,3,1,White,9.8,8.2,"78,500",717230,370678,48.3
MitsubishiCastVXi,Mitsubishi,Cast,VXi,Sedan,Manual,Petrol,11,1,Black,4.5,6.5,"74,000",622644,105600,83
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,10,1,Blue,5,5.6,"55,887",336331,127600,62.1
NissanMicra1.2 VX AT i-VTEC,Nissan,Micra,1.2 VX AT i-VTEC,Sedan,Automatic,Petrol,3,1,Silver,9.9,5.6,"21,000",982415,616950,37.2
MazdaRX10Triton 1.1 iRDE2,Mazda,RX10,Triton 1.1 iRDE2,Hatchback,Manual,Petrol,5,1,Grey,4.5,4.2,"14,231",541570,338352,37.5
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,11,2,Grey,6.4,5.4,"77,222",806541,287950,64.3
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,7,1,other,6.8,7.4,"35,000",738248,338352,54.2
MitsubishiPajero FocusLXi,Mitsubishi,Pajero Focus,LXi,Sedan,Manual,CNG,10,2,Silver,4.5,4.8,"65,000",641315,251598,60.8
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,8,1,Grey,4.5,9.9,"54,000",1464334,309884,78.8
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,cng,8,1,Silver,6.7,4.2,"57,000",475198,233518,50.9
MitsubishiEeco5 STR WITH A/C+HTR CNG,Mitsubishi,Eeco,5 STR WITH A/C+HTR CNG,Van,Manual,cng,6,2,Grey,9.8,5.6,"51,000",503628,242550,51.8
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,12,1,Silver,4.5,6.8,"41,000",475198,136400,71.3
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,9,1,Silver,6.8,9.9,"54,000",806541,301648,62.6
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,5,1,Brown,3.3,7.2,"89,568",514112,260662,49.3
NissanKicks1.8At,Nissan,Kicks,1.8At,Van,Automatic,Petrol,10,2,Red,4.5,4.2,"43,492",1675849,403200,75.9
MazdaGrand RX10G5 1.2 Grind VTVT,Mazda,Grand RX10,G5 1.2 Grind VTVT,Hatchback,Manual,Petrol,3,1,Red,8.1,8,"45,000",752105,363735,51.6
MitsubishiCrossGENUS VDI,Mitsubishi,Cross,GENUS VDI,Hatchback,Manual,diesel,8,1,Grey,4.5,7.8,"37,000",624198,292512,53.1
MazdaB seriesGLE,Mazda,B series,GLE,Hatchback,Manual,Petrol,12,2,Red,6.8,7.6,"52,000",462186,101200,78.1
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,other,6.8,7.2,"2,011",585070,316299,45.9
NissanBirdActive,Nissan,Bird,Active,Hatchback,Manual,Petrol,9,1,Black,6.4,7.2,"63,000",870970,333750,61.7
FordFortuner3.0 4x2 MT,Ford,Fortuner,3.0 4x2 MT,SUV,Manual,Diesel,8,1,White,8.1,7.8,"1,10,000",3013628,939941,68.8
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,1,Golden,6.8,6,"56,545",563323,202400,64.1
FordMustang1.8e,Ford,Mustang,1.8e,Sedan,Manual,Petrol,12,1,Beige,6.4,9.9,"84,000",1014992,215600,78.8
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,8,1,Grey,9.7,7.7,"59,000",581615,220000,62.2
MazdaClass RX20G5 1.4 CRDI (O),Mazda,Class RX20,G5 1.4 CRDI (O),Hatchback,Manual,Diesel,3,1,Blue,3.5,5.7,"34,000",972640,620339,36.2
MazdaRX10G51.2,Mazda,RX10,G51.2,Hatchback,Manual,Petrol,10,1,Grey,4.3,7,"93,000",589156,224503,61.9
FordCamryW4At,Ford,Camry,W4At,Sedan,Manual,Petrol,12,1,other,6.8,4.2,"78,000",2762637,763950,72.3
MitsubishiEeco5 STR WITH A/C+HTR CNG,Mitsubishi,Eeco,5 STR WITH A/C+HTR CNG,Van,Manual,Petrol + CNG,6,1,Silver,4.8,4.5,"55,000",503628,242550,51.8
NissanMaxima ZxVTEC,Nissan,Maxima Zx,VTEC,Sedan,Manual,Petrol,8,1,Blue,6.4,4.8,"56,463",939019,450000,52.1
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,5,1,Grey,3.8,4.2,"60,000",505259,306222,39.4
MazdaB series Prime1.3Gvs,Mazda,B series Prime,1.3Gvs,Hatchback,Manual,Petrol,9,1,Black,4.5,9.2,"63,000",471405,132000,72
